DDPM: Running in eps-prediction mode
Load conditional token dataset.
[Epoch 0] [Diffusion Loss 1.000423789024353]
[Epoch 0] [Diffusion Loss 0.9983999133110046]
[Epoch 0] [Diffusion Loss 0.9979643225669861]
[Epoch 1] [Diffusion Loss 1.0003712177276611]
[Epoch 1] [Diffusion Loss 0.9988271594047546]
[Epoch 1] [Diffusion Loss 0.9996750354766846]
[Epoch 2] [Diffusion Loss 0.9954932928085327]
[Epoch 2] [Diffusion Loss 0.9962629079818726]
[Epoch 2] [Diffusion Loss 0.9993650317192078]
[Epoch 3] [Diffusion Loss 0.9963380694389343]
[Epoch 3] [Diffusion Loss 0.996576189994812]
[Epoch 3] [Diffusion Loss 0.9937299489974976]
[Epoch 4] [Diffusion Loss 0.9939063191413879]
[Epoch 4] [Diffusion Loss 0.9966309666633606]
[Epoch 4] [Diffusion Loss 0.9945489168167114]
[Epoch 5] [Diffusion Loss 0.9951058626174927]
[Epoch 5] [Diffusion Loss 0.9920117259025574]
[Epoch 5] [Diffusion Loss 0.9945343732833862]
[Epoch 6] [Diffusion Loss 0.9914878606796265]
[Epoch 6] [Diffusion Loss 0.9894896149635315]
[Epoch 6] [Diffusion Loss 0.9905057549476624]
[Epoch 7] [Diffusion Loss 0.9912315011024475]
[Epoch 7] [Diffusion Loss 0.9890854358673096]
[Epoch 7] [Diffusion Loss 0.9869390726089478]
[Epoch 8] [Diffusion Loss 0.9901904463768005]
[Epoch 8] [Diffusion Loss 0.9907240867614746]
[Epoch 8] [Diffusion Loss 0.9890308380126953]
[Epoch 9] [Diffusion Loss 0.9880403280258179]
[Epoch 9] [Diffusion Loss 0.9846804141998291]
[Epoch 9] [Diffusion Loss 0.9896935224533081]
[Epoch 10] [Diffusion Loss 0.9862880706787109]
[Epoch 10] [Diffusion Loss 0.9859086275100708]
[Epoch 10] [Diffusion Loss 0.9846547842025757]
[Epoch 11] [Diffusion Loss 0.9850295782089233]
[Epoch 11] [Diffusion Loss 0.9861370921134949]
[Epoch 11] [Diffusion Loss 0.9837722182273865]
[Epoch 12] [Diffusion Loss 0.9838070869445801]
[Epoch 12] [Diffusion Loss 0.9824389815330505]
[Epoch 12] [Diffusion Loss 0.9814263582229614]
[Epoch 13] [Diffusion Loss 0.9787461757659912]
[Epoch 13] [Diffusion Loss 0.9774837493896484]
[Epoch 13] [Diffusion Loss 0.9820125102996826]
[Epoch 14] [Diffusion Loss 0.9784160256385803]
[Epoch 14] [Diffusion Loss 0.9779410362243652]
[Epoch 14] [Diffusion Loss 0.977491021156311]
[Epoch 15] [Diffusion Loss 0.9780806303024292]
[Epoch 15] [Diffusion Loss 0.9772952795028687]
[Epoch 15] [Diffusion Loss 0.974952757358551]
[Epoch 16] [Diffusion Loss 0.9744603633880615]
[Epoch 16] [Diffusion Loss 0.9754214286804199]
[Epoch 16] [Diffusion Loss 0.9748827219009399]
[Epoch 17] [Diffusion Loss 0.975669801235199]
[Epoch 17] [Diffusion Loss 0.9745941162109375]
[Epoch 17] [Diffusion Loss 0.971699595451355]
[Epoch 18] [Diffusion Loss 0.9728624820709229]
[Epoch 18] [Diffusion Loss 0.972493052482605]
[Epoch 18] [Diffusion Loss 0.9712413549423218]
[Epoch 19] [Diffusion Loss 0.9694653749465942]
[Epoch 19] [Diffusion Loss 0.969782292842865]
[Epoch 19] [Diffusion Loss 0.9701063632965088]
[Epoch 20] [Diffusion Loss 0.9675301909446716]
[Epoch 20] [Diffusion Loss 0.968552827835083]
[Epoch 20] [Diffusion Loss 0.9682994484901428]
[Epoch 21] [Diffusion Loss 0.9668020009994507]
[Epoch 21] [Diffusion Loss 0.9667603969573975]
[Epoch 21] [Diffusion Loss 0.9653236865997314]
[Epoch 22] [Diffusion Loss 0.9653310775756836]
[Epoch 22] [Diffusion Loss 0.9638625383377075]
[Epoch 22] [Diffusion Loss 0.9639368057250977]
[Epoch 23] [Diffusion Loss 0.9718772172927856]
[Epoch 23] [Diffusion Loss 0.9621605277061462]
[Epoch 23] [Diffusion Loss 0.9617217779159546]
[Epoch 24] [Diffusion Loss 0.9636256694793701]
[Epoch 24] [Diffusion Loss 0.9592373371124268]
[Epoch 24] [Diffusion Loss 0.9599583148956299]
[Epoch 25] [Diffusion Loss 0.9589422941207886]
[Epoch 25] [Diffusion Loss 0.9603661298751831]
[Epoch 25] [Diffusion Loss 0.9575146436691284]
[Epoch 26] [Diffusion Loss 0.957088828086853]
[Epoch 26] [Diffusion Loss 0.9584592580795288]
[Epoch 26] [Diffusion Loss 0.9596035480499268]
[Epoch 27] [Diffusion Loss 0.9582305550575256]
[Epoch 27] [Diffusion Loss 0.9561111927032471]
[Epoch 27] [Diffusion Loss 0.9563740491867065]
[Epoch 28] [Diffusion Loss 0.9575381278991699]
[Epoch 28] [Diffusion Loss 0.9521236419677734]
[Epoch 28] [Diffusion Loss 0.953921914100647]
[Epoch 29] [Diffusion Loss 0.9550970792770386]
[Epoch 29] [Diffusion Loss 0.9553574323654175]
[Epoch 29] [Diffusion Loss 0.9537033438682556]
[Epoch 30] [Diffusion Loss 0.9543861746788025]
[Epoch 30] [Diffusion Loss 0.9524474143981934]
[Epoch 30] [Diffusion Loss 0.9539395570755005]
[Epoch 31] [Diffusion Loss 0.9528787136077881]
[Epoch 31] [Diffusion Loss 0.9509814977645874]
[Epoch 31] [Diffusion Loss 0.9475210905075073]
[Epoch 32] [Diffusion Loss 0.9493906497955322]
[Epoch 32] [Diffusion Loss 0.9513996243476868]
[Epoch 32] [Diffusion Loss 0.9499168395996094]
[Epoch 33] [Diffusion Loss 0.9501723051071167]
[Epoch 33] [Diffusion Loss 0.9478591680526733]
[Epoch 33] [Diffusion Loss 0.9469814300537109]
[Epoch 34] [Diffusion Loss 0.947245717048645]
[Epoch 34] [Diffusion Loss 0.9465224742889404]
[Epoch 34] [Diffusion Loss 0.9465879201889038]
[Epoch 35] [Diffusion Loss 0.9467312097549438]
[Epoch 35] [Diffusion Loss 0.9468920230865479]
[Epoch 35] [Diffusion Loss 0.9486423134803772]
[Epoch 36] [Diffusion Loss 0.9441590309143066]
[Epoch 36] [Diffusion Loss 0.9453670978546143]
[Epoch 36] [Diffusion Loss 0.9447283744812012]
[Epoch 37] [Diffusion Loss 0.9450695514678955]
[Epoch 37] [Diffusion Loss 0.9421488642692566]
[Epoch 37] [Diffusion Loss 0.9419295191764832]
[Epoch 38] [Diffusion Loss 0.9413114786148071]
[Epoch 38] [Diffusion Loss 0.9413212537765503]
[Epoch 38] [Diffusion Loss 0.9424585103988647]
[Epoch 39] [Diffusion Loss 0.9415936470031738]
[Epoch 39] [Diffusion Loss 0.9415308237075806]
[Epoch 39] [Diffusion Loss 0.9386274814605713]
[Epoch 40] [Diffusion Loss 0.9396688342094421]
[Epoch 40] [Diffusion Loss 0.9396297931671143]
[Epoch 40] [Diffusion Loss 0.9386111497879028]
[Epoch 41] [Diffusion Loss 0.9412546157836914]
[Epoch 41] [Diffusion Loss 0.9410809278488159]
[Epoch 41] [Diffusion Loss 0.9387072324752808]
[Epoch 42] [Diffusion Loss 0.9364888668060303]
[Epoch 42] [Diffusion Loss 0.9379985928535461]
[Epoch 42] [Diffusion Loss 0.9361584186553955]
[Epoch 43] [Diffusion Loss 0.9365290403366089]
[Epoch 43] [Diffusion Loss 0.9343891143798828]
[Epoch 43] [Diffusion Loss 0.936609148979187]
[Epoch 44] [Diffusion Loss 0.9353746771812439]
[Epoch 44] [Diffusion Loss 0.9333611130714417]
[Epoch 44] [Diffusion Loss 0.9362701177597046]
[Epoch 45] [Diffusion Loss 0.9351162910461426]
[Epoch 45] [Diffusion Loss 0.9362561106681824]
[Epoch 45] [Diffusion Loss 0.9330238103866577]
[Epoch 46] [Diffusion Loss 0.9351643323898315]
[Epoch 46] [Diffusion Loss 0.9349136352539062]
[Epoch 46] [Diffusion Loss 0.9334592819213867]
[Epoch 47] [Diffusion Loss 0.9339599609375]
[Epoch 47] [Diffusion Loss 0.9320240020751953]
[Epoch 47] [Diffusion Loss 0.9316565990447998]
[Epoch 48] [Diffusion Loss 0.9323781728744507]
[Epoch 48] [Diffusion Loss 0.932274580001831]
[Epoch 48] [Diffusion Loss 0.9312955737113953]
[Epoch 49] [Diffusion Loss 0.9316266775131226]
[Epoch 49] [Diffusion Loss 0.9314768314361572]
[Epoch 49] [Diffusion Loss 0.9324195384979248]
[Epoch 50] [Diffusion Loss 0.9292645454406738]
[Epoch 50] [Diffusion Loss 0.9313099384307861]
[Epoch 50] [Diffusion Loss 0.929413378238678]
[Epoch 51] [Diffusion Loss 0.9308958053588867]
[Epoch 51] [Diffusion Loss 0.9272769689559937]
[Epoch 51] [Diffusion Loss 0.9297885894775391]
[Epoch 52] [Diffusion Loss 0.9289842844009399]
[Epoch 52] [Diffusion Loss 0.9298679828643799]
[Epoch 52] [Diffusion Loss 0.9289947748184204]
[Epoch 53] [Diffusion Loss 0.9280673265457153]
[Epoch 53] [Diffusion Loss 0.9280111193656921]
[Epoch 53] [Diffusion Loss 0.9256356954574585]
[Epoch 54] [Diffusion Loss 0.9278930425643921]
[Epoch 54] [Diffusion Loss 0.9255198240280151]
[Epoch 54] [Diffusion Loss 0.9253981709480286]
[Epoch 55] [Diffusion Loss 0.9263770580291748]
[Epoch 55] [Diffusion Loss 0.9295492768287659]
[Epoch 55] [Diffusion Loss 0.9267929792404175]
[Epoch 56] [Diffusion Loss 0.9261058568954468]
[Epoch 56] [Diffusion Loss 0.9242918491363525]
[Epoch 56] [Diffusion Loss 0.9261568784713745]
[Epoch 57] [Diffusion Loss 0.9329115152359009]
[Epoch 57] [Diffusion Loss 0.9262382984161377]
[Epoch 57] [Diffusion Loss 0.9231500625610352]
[Epoch 58] [Diffusion Loss 0.9245139360427856]
[Epoch 58] [Diffusion Loss 0.9245333671569824]
[Epoch 58] [Diffusion Loss 0.9239330291748047]
[Epoch 59] [Diffusion Loss 0.922965407371521]
[Epoch 59] [Diffusion Loss 0.9238620400428772]
[Epoch 59] [Diffusion Loss 0.9252429008483887]
[Epoch 60] [Diffusion Loss 0.925400972366333]
[Epoch 60] [Diffusion Loss 0.9243069887161255]
[Epoch 60] [Diffusion Loss 0.922194242477417]
[Epoch 61] [Diffusion Loss 0.9233631491661072]
[Epoch 61] [Diffusion Loss 0.925060510635376]
[Epoch 61] [Diffusion Loss 0.9248979091644287]
[Epoch 62] [Diffusion Loss 0.9251588582992554]
[Epoch 62] [Diffusion Loss 0.9239277243614197]
